day,feature_version,ticker,_computed_at,atr_14,call_gex,day_of_week,gamma_flip,gex_n_strikes,month,net_gex,price_vs_sma_21,price_vs_sma_5,put_gex,realized_vol_21d,realized_vol_5d,relative_volume,ret_1d,ret_21d,ret_5d,rsi_14,sma_21,sma_5,spot,target_directional_move,target_return_pct,total_dex,total_vega,total_vex
2024-08-23,v2.0_gex,SPY,2026-05-18T09:14:44.631120+00:00,7.569307714285726,25928146.37,4.0,,7834,8.0,-5461656.04,0.03518746526580685,0.004779609388004369,-31389802.42,0.20303278936156133,0.12283825587538845,0.8579958977976844,0.01062519625962799,0.04405551266247776,0.014107704375334373,85.88618078500011,531.8310735714285,547.9259887999999,550.544861,0,-0.0023837803110471085,-542232447066.77,825521590.03,-1614091891.96
2024-08-26,v2.0_gex,SPY,2026-05-18T09:14:44.631554+00:00,7.043928785714294,21063395.79,0.0,,7820,8.0,-15346717.24,0.031241236575604736,0.001961762317972182,-36410113.03,0.20080121637834045,0.11027239595936245,0.615298652444958,-0.0023837803110471345,0.030030905419703435,0.0021086479813698933,82.79025718402598,532.5936003333333,548.1571289999999,549.232483,1,0.0013730979564076174,-592222006559.27,820219931.2,-1476940133.65
2024-08-27,v2.0_gex,SPY,2026-05-18T09:14:44.631982+00:00,6.35835185714287,22855905.67,1.0,,7822,8.0,-8627371.45,0.03114029664441098,0.0023132110493888636,-31483277.12,0.20077917700243603,0.10880810351895324,0.5652497001773455,0.0013730979564077206,0.03083921359241093,0.005118966871657804,88.16744339042796,533.3771115238095,548.7173339999999,549.986633,0,-0.005805250179598471,-584579569630.62,816674968.7,-1395579543.64
2024-08-28,v2.0_gex,SPY,2026-05-18T09:14:44.632412+00:00,5.937218500000013,20230026.07,2.0,,7836,8.0,-12717753.82,0.023695253102975267,-0.0026795170574139826,-32947779.89,0.2010996142745709,0.11552118118503686,0.713395432722633,-0.005805250179598431,0.030073765285957066,-0.004138220335811349,79.12381975496477,534.1373043809524,548.2629027999999,546.793823,1,8.963341928620157e-05,-581280742522.18,829818607.6,-1123167836.62
2024-08-29,v2.0_gex,SPY,2026-05-18T09:14:44.632850+00:00,5.975693714285724,21580879.4,3.0,,7829,8.0,-12451382.43,0.02311344296047002,-0.003348568155211451,-34032261.83,0.19385889788124894,0.09729841115892318,0.687892340030099,8.963341928613922e-05,0.01368899967263637,0.0038294525728417295,78.06568321300851,534.4889540476191,548.6801267999999,546.842834,1,0.009545874381888501,-590262866967.31,836665239.68,-1141504352.24
2024-08-30,v2.0_gex,SPY,2026-05-18T09:14:44.633283+00:00,6.135196500000006,24538543.16,4.0,,7840,8.0,-7004193.23,0.031020424731674323,0.005608885611074532,-31542736.38,0.18822636940568602,0.09057843149531478,1.1271490980381884,0.009545874381888586,0.038065384689101034,0.0027573883756586426,80.27089311886547,535.4529490952381,548.98374,552.062927,0,-0.020578996422992737,-608233230557.78,834158294.94,-1567959127.86
2024-09-03,v2.0_gex,SPY,2026-05-18T09:14:44.633702+00:00,6.496163857142863,15286085.36,1.0,,7721,9.0,-22436807.65,0.008118927234222584,-0.012015149196794694,-37722893.01,0.19108586541575168,0.17914671425693923,1.1104911572291798,-0.020578996422992768,0.035991773232991964,-0.015531595934394016,59.460988990387065,536.34746,547.2776486,540.702026,0,-0.002046875999684221,-595436613723.3,832776003.04,-635325895.27
2024-09-04,v2.0_gex,SPY,2026-05-18T09:14:44.634133+00:00,6.5052542857142885,18104084.2,2.0,,7723,9.0,-16072121.92,0.003127252686512927,-0.010278994133817831,-34176206.11,0.154720961514855,0.17533517541899696,0.9472596679003585,-0.002046875999684228,0.06488460890466885,-0.01889383555254509,56.85980938629903,537.9130858571428,545.1993772,539.595276,0,-0.0024320394532142036,-533136315322.67,838112374.94,-373616440.55
2024-09-05,v2.0_gex,SPY,2026-05-18T09:14:44.634569+00:00,6.301678357142862,17292827.58,3.0,,7876,9.0,-18855711.6,-0.001689180491625919,-0.009593877130897654,-36148539.18,0.15410116912296892,0.17453939231759238,0.9236603029799574,-0.002432039453214241,0.05259019536512599,-0.01556503318436353,46.112349450195595,539.1937545714286,543.4972044,538.282959,0,-0.016830044214719522,-537901424644.72,839850851.99,-299776528.76
2024-09-06,v2.0_gex,SPY,2026-05-18T09:14:44.634985+00:00,6.889310428571434,13668269.99,4.0,,8087,9.0,-24065588.57,-0.020329591120027746,-0.01990789159744244,-37733858.56,0.16546489999196295,0.19544700898332773,1.4323934249132344,-0.016830044214719564,0.04183876416950638,-0.032219862645214925,36.71687723171923,540.205795952381,539.9733641999999,529.223633,1,0.011196083527887446,-516943805113.97,842880678.04,281857324.92
